# gate	bias	idc	gx	gy	gr
-1.3	5e-05	1.002610192e-10	1.095172727e-06	-1.844936364e-08	1.095328116e-06
-1.299	5e-05	1.080515057e-10	1.104945455e-06	-7.629436364e-10	1.104945718e-06
-1.298	5e-05	1.305366145e-10	1.108136364e-06	1.838e-08	1.108288782e-06
-1.297	5e-05	1.296525796e-10	1.108554545e-06	2.1085e-08	1.108755048e-06
-1.296	5e-05	1.379816404e-10	1.108763636e-06	1.602181818e-08	1.108879389e-06
-1.295	5e-05	1.404927408e-10	1.108554545e-06	9.363454545e-09	1.108594089e-06
-1.294	5e-05	1.3227433e-10	1.110981818e-06	5.756754545e-09	1.110996733e-06
-1.293	5e-05	1.283665276e-10	1.1148e-06	1.387172727e-10	1.114800009e-06
-1.292	5e-05	1.353407306e-10	1.1166e-06	-4.924463636e-09	1.116610859e-06
-1.291	5e-05	1.385179729e-10	1.120418182e-06	-8.531081818e-09	1.12045066e-06
-1.29	5e-05	1.391402871e-10	1.127490909e-06	-1.213772727e-08	1.12755624e-06
-1.289	5e-05	1.428552926e-10	1.132345455e-06	-1.449590909e-08	1.132438237e-06
-1.288	5e-05	1.476181325e-10	1.130545455e-06	-1.650727273e-08	1.130665961e-06
-1.287	5e-05	1.427742963e-10	1.122427273e-06	-2.489972727e-08	1.122703424e-06
-1.286	5e-05	1.36889344e-10	1.115972727e-06	-3.252909091e-08	1.116446716e-06
-1.285	5e-05	1.502633418e-10	1.118754545e-06	-3.3292e-08	1.119249789e-06
-1.284	5e-05	1.375612235e-10	1.126381818e-06	-2.753527273e-08	1.126718328e-06
-1.283	5e-05	1.39738921e-10	1.128318182e-06	-1.706218182e-08	1.12844718e-06
-1.282	5e-05	1.335879412e-10	1.127836364e-06	-1.109736364e-08	1.127890959e-06
-1.281	5e-05	1.318480354e-10	1.124436364e-06	-1.130545455e-08	1.124493197e-06
-1.28	5e-05	1.376289601e-10	1.122563636e-06	-1.456527273e-08	1.122658125e-06
-1.279	5e-05	1.354692642e-10	1.124436364e-06	-1.539754545e-08	1.124541782e-06
-1.278	5e-05	1.379327462e-10	1.119654545e-06	-1.331681818e-08	1.119733736e-06
-1.277	5e-05	1.294438166e-10	1.1139e-06	-1.484272727e-08	1.113998885e-06
-1.276	5e-05	1.386027009e-10	1.112027273e-06	-2.163990909e-08	1.112237808e-06
-1.275	5e-05	1.340163081e-10	1.105709091e-06	-3.350009091e-08	1.106216457e-06
-1.274	5e-05	1.441361896e-10	1.098154545e-06	-4.217e-08	1.098963928e-06
-1.273	5e-05	1.439007154e-10	1.095172727e-06	-4.501372727e-08	1.096097413e-06
-1.272	5e-05	1.30591497e-10	1.104327273e-06	-4.452818182e-08	1.105224631e-06
-1.271	5e-05	1.327683612e-10	1.116527273e-06	-3.967309091e-08	1.117231894e-06
-1.27	5e-05	1.35175552e-10	1.124927273e-06	-3.662136364e-08	1.125523209e-06
-1.269	5e-05	1.456980333e-10	1.126590909e-06	-3.606645455e-08	1.127168073e-06
-1.268	5e-05	1.320057729e-10	1.123818182e-06	-3.218227273e-08	1.124278882e-06
-1.267	5e-05	1.393709161e-10	1.118818182e-06	-2.704981818e-08	1.119145128e-06
-1.266	5e-05	1.302978954e-10	1.108627273e-06	-2.191727273e-08	1.108843901e-06
-1.265	5e-05	1.36975628e-10	1.094681818e-06	-1.435718182e-08	1.094775964e-06
-1.264	5e-05	1.274128903e-10	1.086918182e-06	-8.531081818e-09	1.086951661e-06
-1.263	5e-05	1.401900905e-10	1.090454545e-06	-5.756754545e-09	1.090469741e-06
-1.262	5e-05	1.364531968e-10	1.098218182e-06	-2.704981818e-09	1.098221513e-06
-1.261	5e-05	1.363821785e-10	1.101345455e-06	1.733963636e-09	1.10134682e-06
-1.26	5e-05	1.289105962e-10	1.1003e-06	9.987636364e-09	1.100345329e-06
-1.259	5e-05	1.366891651e-10	1.098845455e-06	1.234581818e-08	1.098914807e-06
-1.258	5e-05	1.350244075e-10	1.1012e-06	5.6874e-09	1.101214687e-06
-1.257	5e-05	1.383317691e-10	1.1062e-06	3.606636364e-09	1.106205879e-06
-1.256	5e-05	1.296867687e-10	1.110009091e-06	1.331681818e-08	1.110088969e-06
-1.255	5e-05	1.289455007e-10	1.112781818e-06	2.448354545e-08	1.11305113e-06
-1.254	5e-05	1.378918977e-10	1.111536364e-06	2.399809091e-08	1.111795393e-06
-1.253	5e-05	1.301319204e-10	1.115218182e-06	1.782518182e-08	1.115360628e-06
-1.252	5e-05	1.298309589e-10	1.122290909e-06	1.394109091e-08	1.122377494e-06
-1.251	5e-05	1.323200163e-10	1.118609091e-06	6.658418182e-09	1.118628908e-06
-1.25	5e-05	1.35801701e-10	1.111118182e-06	-5.964836364e-09	1.111134192e-06
-1.249	5e-05	1.465994577e-10	1.1062e-06	-1.935109091e-08	1.106369244e-06
-1.248	5e-05	1.318977261e-10	1.104809091e-06	-2.274963636e-08	1.10504329e-06
-1.247	5e-05	1.287601523e-10	1.101754545e-06	-1.685409091e-08	1.101883451e-06
-1.246	5e-05	1.321656269e-10	1.094545455e-06	-4.161509091e-09	1.094553366e-06
-1.245	5e-05	1.377300673e-10	1.087681818e-06	4.161509091e-09	1.087689779e-06
-1.244	5e-05	1.419277101e-10	1.0865e-06	-1.6646e-09	1.086501275e-06
-1.243	5e-05	1.330461219e-10	1.081718182e-06	-1.248454545e-08	1.081790224e-06
-1.242	5e-05	1.273781334e-10	1.077063636e-06	-2.157054545e-08	1.077279613e-06
-1.241	5e-05	1.30384939e-10	1.077409091e-06	-2.836763636e-08	1.077782479e-06
-1.24	5e-05	1.393268375e-10	1.079427273e-06	-3.135e-08	1.079882429e-06
-1.239	5e-05	1.40394849e-10	1.083445455e-06	-3.384690909e-08	1.083974015e-06
-1.238	5e-05	1.310670841e-10	1.092672727e-06	-4.064409091e-08	1.093428384e-06
-1.237	5e-05	1.335520412e-10	1.105781818e-06	-4.071345455e-08	1.106531073e-06
-1.236	5e-05	1.348638234e-10	1.115836364e-06	-3.148872727e-08	1.116280579e-06
